(-21.6866517, -51.0762975)
(-21.2356597, -49.6441918)
(-22.0592036, -46.979384)
(-21.9464285, -46.7192121)
(-22.4718855, -46.6291034)
(-22.8821912, -49.2383956)
(-22.6000681, -47.8750887)
(-22.4719836, -48.9884476)
(-23.550338, -47.897971)
(-21.9527, -51.413956)
(-20.5238955, -49.0606135)
(-21.021364, -47.3712)
(-21.5820592, -50.1661976)
(-23.5203479, -47.2575256)
(-20.3205523, -49.9085255)
(-22.076415, -51.47224)
(-22.0787992, -49.7194861)
(-22.4431852, -49.7643596)
(-22.7392463, -47.3306032)
(-21.7297099, -48.1052092)
(-20.298476, -49.735904)
(-22.70111, -46.76444)
(-22.128917, -47.661939)
(-20.896505, -51.3742765)
(-23.4938938, -48.4110675)
(-22.7891096, -48.1316776)
(-22.2956478, -51.3873401)
(-22.851552, -45.2340924)
(-20.4498109, -50.8808706)
(-24.5076527, -48.8461582)
(-23.438611, -47.061389)
(-21.207992, -50.4390225)
(-23.5045367, -47.6168158)
(-20.0876144, -47.789201)
(-23.1345103, -49.0545651)
(-22.6738889, -44.4477778)
(-21.7886713, -48.1773096)
(-22.3569477, -47.3838889)
(-21.7741308, -50.4668814)
(-22.0301906, -48.9111936)
(-22.5800929, -44.6975127)
(-22.6758064, -48.6673653)
(-21.18716, -48.790418)
(-22.572737, -47.172679)
(-23.396266, -46.3175449)
(-20.1596604, -50.7279226)
(-22.6620892, -50.420623)
(-23.1177393, -46.5547861)
(-20.6840418, -50.5554616)
(-22.1564662, -49.3316395)
(-21.4603331, -49.9465156)
(-23.1045215, -48.9259103)
(-20.9178969, -49.4517911)
(-21.9006253, -49.3583966)
(-20.7343722, -49.5807484)
(-22.6828195, -44.3221095)
(-23.6295651, -49.5632104)
(-21.265661, -49.951816)
(-22.0746355, -48.7394852)
(-22.490859, -48.558349)
(-24.472203, -49.023784)
(-24.756421, -48.5056942)
(-20.5531437, -48.5697509)
(-21.1898849, -48.1550642)
(-23.5112184, -46.8764612)
(-21.9222474, -50.7317727)
(-20.892867, -47.592149)
(-22.3218102, -49.0705863)
(-20.949077, -48.479083)
(-21.2715723, -50.8117225)
(-23.0140216, -49.4760724)
(-23.848568, -46.139586)
(-21.403962, -50.47464)
(-21.2908491, -50.34144)
(-23.5697765, -46.0407456)
(-21.9930206, -48.3917372)
(-22.1421831, -48.522276)
(-23.1019554, -48.2610535)
(-23.2838893, -47.6738231)
(-23.1353864, -46.4648052)
(-24.3190016, -49.1446207)
(-22.2703347, -50.5442675)
(-22.195355, -48.7801925)
(-21.6212706, -49.074135)
(-22.5700178, -48.9714871)
(-22.8879628, -48.4410712)
(-22.9520235, -46.5418586)
(-21.5015319, -50.3175246)
(-21.1671191, -50.1850393)
(-20.984532, -47.657217)
(-22.2840884, -48.1267265)
(-23.79849, -48.598924)
(-21.0664017, -50.1448077)
(-20.1933264, -47.7097165)
(-22.4562909, -49.3385645)
(-23.3076318, -47.1325128)
(-23.099204, -45.707645)
(-22.666498, -45.015384)
(-21.527995, -46.643659)
(-21.8054355, -49.6030627)
(-22.0143038, -51.2356597)
(-23.3644621, -46.7484765)
(-21.8319357, -51.9887179)
(-23.3561111, -46.8769444)
(-24.7272376, -48.1077914)
(-20.8776238, -48.8106972)
(-21.2759978, -47.3046035)
(-23.5935653, -48.4801876)
(-22.90556, -47.06083)
(-23.207791, -46.788919)
(-22.7395263, -45.5912829)
